Animal_ID,Rack,Tank,DOB,Cohort,Environmental_Condition,Sex,Lineage,Transgenic_Line,Experimental_Holds,Species,Protocol_Number,Experimental_History,RFID,Date_of_Terra,Date_of_Reaqua,Diet
SAL_117,Rack 8,C2,2/23/22 0:00,Aqua H/K,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_118,Rack 8,C3,2/23/22 0:00,Aqua H/K,Aquatic,Unknown,,WT,JW Multiome,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_119,Rack 8,C3,2/23/22 0:00,Aqua H/K,Aquatic,Unknown,,WT,JW Multiome,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_122,Rack 8,C5,2/23/22 0:00,Aqua C',Aquatic,Unknown,,WT,JW,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_123,Rack 8,C5,2/23/22 0:00,Aqua C',Aquatic,Unknown,,WT,JW,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_124,Rack 2,B3,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_125,Rack 2,B3,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_126,Rack 2,B3,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_127,Rack 2,B3,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_128,Rack 2,B3,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_129,Rack 2,C1,3/1/23 0:00,,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,ECJ - Viral CAG G8s,,,,
SAL_130,Rack 2,C1,3/30/22 0:00,F1,Aquatic,Unknown,,hsyn-GCaMP6s,ECJ,Pleurodeles waltl,AABL1550,,,,,
SAL_131,Rack 2,C5,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_132,Rack 2,C5,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_133,Rack 2,C5,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_134,Rack 2,C5,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_135,Rack 2,C5,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_136,Rack 2,C5,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_137,Rack 2,C5,3/29/22 0:00,F1,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_138,Rack 4,A3,1/3/25 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_139,Rack 4,D4,3/21/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABI2617,TC - limb regeneration,,,,
SAL_140,Rack 4,D4,3/21/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABI2617,TC - limb regeneration,,,,
SAL_141,Rack 4,D4,3/21/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABI2617,TC - limb regeneration,,,,
SAL_142,Rack 4,D4,3/21/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABI2617,TC - limb regeneration,,,,
SAL_143,Rack 11,B2,3/21/22 0:00,Terra Q,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_144,Rack 11,B2,3/21/22 0:00,Terra Q,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_145,Rack 11,B2,3/21/22 0:00,Terra Q,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_146,Rack 11,B2,3/21/22 0:00,Terra Q,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_147,Rack 11,B2,3/21/22 0:00,Terra Q,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_148,Rack 11,B2,3/21/22 0:00,Terra Q,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule
SAL_151,Rack 8,A3,3/16/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,Gummy Schedule
SAL_152,Rack 8,A3,3/16/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,Gummy Schedule
SAL_153,Rack 8,A3,3/16/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,Gummy Schedule
SAL_154,Rack 8,A4,3/16/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,Viral G8s Flex ECJ,,,,Gummy Schedule
SAL_155,Rack 8,C4,3/21/22 0:00,,Aquatic,Male,,WT,LX - St Jude,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_156,Rack 8,C4,3/21/22 0:00,,Aquatic,Male,,WT,LX - St Jude,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_157,Rack 8,C4,3/21/22 0:00,,Aquatic,Male,,WT,LX - St Jude,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_158,Rack 8,C4,3/21/22 0:00,,Aquatic,Male,,WT,LX - St Jude,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_159,Rack 8,D2,5/4/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_160,Rack 8,D2,5/4/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_161,Rack 8,D2,5/4/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_162,Rack 8,D2,5/4/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_163,Rack 8,D2,5/4/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_164,Rack 8,D2,5/4/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_165,Rack 8,D5,3/21/22 0:00,,Reaqua,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,1/10/23,2/10/25,Gummy Schedule
SAL_166,Rack 8,D5,3/21/22 0:00,,Reaqua,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,1/10/23,2/10/25,Gummy Schedule
SAL_167,Rack 8,D5,3/21/22 0:00,,Reaqua,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,1/10/23,2/10/25,Gummy Schedule
SAL_168,Rack 8,D5,3/21/22 0:00,,Reaqua,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,1/10/23,2/10/25,Gummy Schedule
SAL_169,Rack 8,D5,3/21/22 0:00,,Reaqua,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,1/10/23,2/10/25,Gummy Schedule
SAL_170,Rack 2,A4,2/2/23 0:00,,Aquatic,Unknown,,WT,ECJ,Pleurodeles waltl,AABL1550,PHP CAG G8s ECJ,,,,
SAL_171,Rack 2,A5,1/14/23 0:00,,Aquatic,Unknown,,hsyn-GCaMP6s,Priority to use ,Pleurodeles waltl,AABL1550,low signal/inconclusive/1 is soma G7s,,,,
SAL_172,Rack 2,A5,1/14/23 0:00,,Aquatic,Unknown,,hsyn-GCaMP6s,Priority to use ,Pleurodeles waltl,AABL1550,low signal/inconclusive/1 is soma G7s,,,,
SAL_173,Rack 2,A5,1/14/23 0:00,,Aquatic,Unknown,,hsyn-GCaMP6s,Priority to use ,Pleurodeles waltl,AABL1550,low signal/inconclusive/1 is soma G7s,,,,
SAL_174,Rack 2,B2,1/14/23 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,Craniotomy Leucistic; Viral PHPeB CAG G8s,,,,
SAL_175,Rack 2,B2,1/14/23 0:00,,Aquatic,Unknown,,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,Craniotomy,,,,
SAL_176,Rack 2,D3,2/2/23 0:00,EdU,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,"AD EdU @ St 55a, 1 WT mixed in ",,,,
SAL_177,Rack 2,D3,2/2/23 0:00,EdU,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,"AD EdU @ St 55a, 1 WT mixed in ",,,,
SAL_178,Rack 2,D3,2/2/23 0:00,EdU,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,"AD EdU @ St 55a, 1 WT mixed in ",,,,
SAL_179,Rack 3,C3,1/13/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABL1550,Leucistic,,,,
SAL_180,Rack 3,C3,1/13/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABL1550,Leucistic,,,,
SAL_181,Rack 3,C3,11/11/21 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,Craniotomy Test LX,,,,
SAL_190,Rack 4,C5,1/14/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,Viral PHPeB CAG G8s LX,,,,
SAL_191,Rack 4,C5,1/14/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,Viral PHPeB CAG G8s LX,,,,
SAL_192,Rack 4,C5,1/14/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,Viral PHPeB CAG G8s LX,,,,
SAL_193,Rack 4,C5,1/14/23 0:00,Viral,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,Viral PHPeB CAG G8s LX,,,,
SAL_194,Rack 11,B1,1/13/23 0:00,Terra P,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,
SAL_195,Rack 11,B1,1/13/23 0:00,Terra P,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,
