Animal_ID,Tank,Rack,DOD,DOB,Purpose,Experimenter,Cohort,Environmental_Condition,Lineage,Transgenic_Line,Experimental_Holds,Species,Protocol_Number,Experimental_History,RFID,Date_of_Terra,Date_of_Reaqua,Diet,Weight_g,Sex,Complications
SAL_442,A1,Rack 13 - Off,2025-05-07,12/18/23 0:00,Adult 3dpi with edu,"AOG, MK",,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,AOG ,,,,,6.66,Unknown,
SAL_186,A5,Rack 4,2025-05-08,2/2/23 0:00,Adult 5dpi with edu,AOG,,Aquatic,,WT,,Pleurodeles waltl,AABF2564,,,,,,10.5,Unknown,
SAL_187,A5,Rack 4,2025-05-08,2/2/23 0:00,Adult 5dpi with edu,AOG,,Aquatic,,WT,,Pleurodeles waltl,AABF2564,,,,,,12.3,Unknown,
SAL_188,A5,Rack 4,2025-05-08,2/2/23 0:00,Adult 5dpi with edu,AOG,,Aquatic,,WT,,Pleurodeles waltl,AABF2564,,,,,,10.2,Unknown,
SAL_189,A5,Rack 4,2025-05-08,2/2/23 0:00,Adult 5dpi with edu,AOG,,Aquatic,,WT,,Pleurodeles waltl,AABF2564,,,,,,10.9,Unknown,
SAL_097,A3,Rack 10,2025-05-09,2/23/22 0:00,perk,TS,Terra C,Terrestrial,,WT,JW Histology - matched on R8,Pleurodeles waltl,AABL1550,,,6/20/23 0:00,,,10.0,Unknown,
SAL_120,C5,Rack 8,2025-05-09,2/23/22 0:00,perk,TS,Aqua C',Aquatic,,WT,JW,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule,8.6,Unknown,
SAL_121,C5,Rack 8,2025-05-09,2/23/22 0:00,perk,TS,Aqua C',Aquatic,,WT,JW,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule,6.5,Unknown,
SAL_560,B1,Rack 7,2025-06-17,9/1/23 0:00,,,,Aquatic,Sweden,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,DOB 11/2021-Sept/2023,,,,,0.0,Unknown,Found Dead
SAL_430,D4,Rack 6,2025-06-17,11/24/23 0:00,,,Viral,Aquatic,,WT,LX,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,,0.0,Unknown,Found Dead
SAL_149,A2,Rack 8,2025-05-13,3/16/22 0:00,7dpi adult,"AOG, MK",,Aquatic,,WT,,Pleurodeles waltl,AABI2617,,,,,Gummy Schedule,7.0,Unknown,
SAL_150,A2,Rack 8,2025-05-13,3/16/22 0:00,7dpi adult,"AOG, MK",,Aquatic,,WT,,Pleurodeles waltl,AABI2617,,,,,Gummy Schedule,7.0,Unknown,
SAL_183,A4,Rack 4,2025-05-14,2/2/23 0:00,10 dpi adult,"AOG, MK",,Aquatic,,WT,,Pleurodeles waltl,AABI2617,,,,,,13.0,Unknown,
SAL_184,A4,Rack 4,2025-05-14,2/2/23 0:00,10 dpi adult,"AOG, MK",,Aquatic,,WT,,Pleurodeles waltl,AABI2617,,,,,,14.0,Unknown,
SAL_443,A1,Rack 13 - Off,2025-05-14,12/9/23 0:00,10 dpi adult,"AOG, MK",,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,AOG ,,,,,6.0,Unknown,
SAL_617,A1,Rack 9,2025-07-02,10/25/24 0:00,,,Viral,Aquatic,,WT,TS,Pleurodeles waltl,AABL1550,TS PHPeB GCaMP,,,,,0.0,Unknown,Found Dead
SAL_622,A1,Rack 9,2025-06-25,10/25/24 0:00,,,Viral,Aquatic,,WT,TS,Pleurodeles waltl,AABL1550,TS PHPeB GCaMP,,,,,0.0,Unknown,Found Dead
SAL_293,B3,Rack 11,2025-05-14,11/24/23 0:00,OB lesioning & behavior,ECJ,Terra R,Terrestrial,,WT,ECJ TS TY Rotation,Pleurodeles waltl,AABL1550,ECJ 1 day behavior,,12/11/24 0:00,,Gummy Schedule,0.0,Unknown,
SAL_294,B3,Rack 11,2025-05-14,11/24/23 0:00,OB lesioning & behavior,ECJ,Terra R,Terrestrial,,WT,ECJ TS TY Rotation,Pleurodeles waltl,AABL1550,ECJ 1 day behavior,,12/11/24 0:00,,Gummy Schedule,0.0,Unknown,
SAL_295,B3,Rack 11,2025-05-14,11/24/23 0:00,OB lesioning & behavior,ECJ,Terra R,Terrestrial,,WT,ECJ TS TY Rotation,Pleurodeles waltl,AABL1550,ECJ 1 day behavior,,12/11/24 0:00,,Gummy Schedule,0.0,Unknown,
SAL_296,B3,Rack 11,2025-05-14,11/24/23 0:00,OB lesioning & behavior,ECJ,Terra R,Terrestrial,,WT,ECJ TS TY Rotation,Pleurodeles waltl,AABL1550,ECJ 1 day behavior,,12/11/24 0:00,,Gummy Schedule,0.0,Unknown,
SAL_297,B3,Rack 11,2025-05-14,11/24/23 0:00,OB lesioning & behavior,ECJ,Terra R,Terrestrial,,WT,ECJ TS TY Rotation,Pleurodeles waltl,AABL1550,ECJ 1 day behavior,,12/11/24 0:00,,Gummy Schedule,0.0,Unknown,
SAL_298,B3,Rack 11,2025-05-14,11/24/23 0:00,OB lesioning & behavior,ECJ,Terra R,Terrestrial,,WT,ECJ TS TY Rotation,Pleurodeles waltl,AABL1550,ECJ 1 day behavior,,12/11/24 0:00,,Gummy Schedule,0.0,Unknown,
SAL_559,B1,Rack 7,2025-05-19,9/1/23 0:00,,,,Aquatic,Sweden,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,DOB 11/2021-Sept/2023,,,,,0.0,Unknown,Found Dead
SAL_575,B4,Rack 7,2025-05-19,9/1/22 0:00,,,,Aquatic,Sweden,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,DOB 2021/11 - 2023/09,,,,,0.0,Unknown,Found Dead
SAL_751,B2,Rack 9,2025-05-22,12/10/24 0:00,,,,Aquatic,PxW,WT,,Pleurodeles waltl,AABF2564,fridged > St 37,,,,,0.0,Unknown,Found Dead
SAL_870,A1,Rack 13 - Off,2025-05-02,12/18/23 0:00,adult 7 dpi w Edu,"AOG, MK",Regeneration,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,"EDU, regeneration surgery",,,,,4.1,Unknown,
SAL_868,A1,Rack 13 - Off,2025-05-22,10/25/24 0:00,,,PTU,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,PTU,,,,,0.0,Unknown,Found Dead
SAL_869,A1,Rack 13 - Off,2025-05-23,10/25/24 0:00,,,PTU sibling,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,PTU sibling,,,,,0.0,Unknown,Found Dead
SAL_449,B2,Rack 8,2025-05-27,11/24/23 0:00,Single cell OE3,JW,,Aquatic,,WT,JW AMMM histology,Pleurodeles waltl,AABL1550,,,,,,10.16,Female,
SAL_165,D5,Rack 8,2025-05-27,3/21/22 0:00,Single cell OE3 Reaqua,JW,,Reaqua,,WT,,Pleurodeles waltl,AABL1550,,,1/10/23,2/10/25,Gummy Schedule,10.0,Female,
SAL_230,B1,Rack 10,2025-05-20,11/24/23 0:00,histology,TS,Terra E ,Terrestrial,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,11/12/24 0:00,,Gummy Schedule,12.0,Male,
SAL_572,B3,Rack 7,2025-05-28,9/1/22 0:00,"Sean found, AMMM logged",,,Aquatic,Sweden,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,DOB 2021/07 - 2023/09,,,,,0.0,Unknown,Found Dead
SAL_241,B4,Rack 10,2025-05-29,12/9/23 0:00,OE4 single cell terra,JW,Terra H,Terrestrial,,WT,AMMM JW ,Pleurodeles waltl,AABL1550,,,7/30/24 0:00,,Gummy Schedule,0.0,Unknown,
SAL_166,D5,Rack 8,2025-05-29,3/21/22 0:00,OE4 single cell reaqua,JW,,Reaqua,,WT,,Pleurodeles waltl,AABL1550,,,1/10/23,2/10/25,Gummy Schedule,5.68,Unknown,
SAL_257,C4,Rack 10,2025-06-03,11/24/23 0:00,damaged skull thinning prep,TS,Terra J,Terrestrial,F1,hsyn-GCaMP6s,ECJ TS Imaging,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule,7.0,Unknown,
SAL_871,A1,Rack 13 - Off,2025-05-29,10/25/24 0:00,EOMES/SOX4,"AOG, MK",PTU,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,PTU,,,,,2.7,Unknown,
SAL_461,C3,Rack 11,2025-06-04,5/17/24 0:00,"perfused for histology, edu & immuno","AMMM, TZ",Terra V,Terrestrial,,WT,AMMM TGZ Edu,Pleurodeles waltl,AABF2564,Edu,,5/4/25,,Gummy Schedule,4.9,Unknown,
SAL_486,C4,Rack 11,2025-06-04,5/17/24 0:00,"perfused for histology, edu & immuno","AMMM, TZ",Terra W,Terrestrial,,WT,AMMM TGZ,Pleurodeles waltl,AABF2564,,,5/5/25,,Gummy Schedule,4.0,Unknown,
SAL_464,C1,Rack 8,2025-06-04,5/17/24 0:00,"perfused for histology, edu & immuno","AMMM, TZ",EdU,Aquatic,,WT,AMMM TGZ Edu,Pleurodeles waltl,AABF2564,Edu,,,,Gummy Schedule,4.0,Unknown,
SAL_224,B1,Rack 10,2025-06-04,11/24/23 0:00,2p imaging,ECJ,Terra E ,Terrestrial,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,11/12/24 0:00,,Gummy Schedule,0.0,Unknown,
SAL_228,B1,Rack 10,2025-06-04,11/24/23 0:00,2p imaging,ECJ,Terra E ,Terrestrial,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,11/12/24 0:00,,Gummy Schedule,0.0,Unknown,
SAL_229,B1,Rack 10,2025-06-04,11/24/23 0:00,2p imaging,ECJ,Terra E ,Terrestrial,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,11/12/24 0:00,,Gummy Schedule,0.0,Unknown,
SAL_646,C2,Rack 9,2025-06-09,12/10/24 0:00,larval regeneration,"AOG, MK",,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,AOG Electroporation,,,,,2.9,Unknown,
SAL_647,C2,Rack 9,2025-06-09,12/10/24 0:00,larval regeneration,"AOG, MK",,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,AOG Electroporation,,,,,2.53,Unknown,
SAL_648,C2,Rack 9,2025-06-09,12/10/24 0:00,larval regeneration,"AOG, MK",,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,AOG Electroporation,,,,,2.9,Unknown,
SAL_649,C2,Rack 9,2025-06-09,12/10/24 0:00,larval regeneration,"AOG, MK",,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,AOG Electroporation,,,,,2.9,Unknown,
SAL_605,A3,Rack 7,2025-06-10,8/8/24 0:00,,"AOG, MK",,Aquatic,,WT,Priority to use,Pleurodeles waltl,AABI2617,,,,,,0.0,Unknown,
SAL_472,C1,Rack 4,2025-06-10,5/17/24 0:00,,"AOG, MK",,Aquatic,,WT,,Pleurodeles waltl,AABI2617,,,,,,0.0,Unknown,
SAL_462,C3,Rack 11,2025-06-16,5/17/24 0:00,perfused for perk and edu with TGZ,"AMMM, TS",Terra V,Terrestrial,,WT,AMMM TGZ Edu,Pleurodeles waltl,AABF2564,Edu,,5/4/25,,Gummy Schedule,0.0,Unknown,
SAL_463,C3,Rack 11,2025-06-16,5/17/24 0:00,perfused for perk and edu with TGZ,"AMMM, TS",Terra V,Terrestrial,,WT,AMMM TGZ Edu,Pleurodeles waltl,AABF2564,Edu,,5/4/25,,Gummy Schedule,0.0,Unknown,
SAL_465,C1,Rack 8,2025-06-16,5/17/24 0:00,perfused for perk and edu with TGZ,"AMMM, TS",EdU,Aquatic,,WT,AMMM TGZ Edu,Pleurodeles waltl,AABF2564,Edu,,,,Gummy Schedule,0.0,Unknown,
SAL_485,B3,Rack 8,2025-06-16,5/17/24 0:00,perfused for perk and edu with TGZ,"AMMM, TS",,Aquatic,,WT,AMMM TGZ,Pleurodeles waltl,AABF2564,,,,,Gummy Schedule,0.0,Unknown,
SAL_489,B3,Rack 8,2025-06-16,5/17/24 0:00,perfused for perk and edu with TGZ,"AMMM, TS",,Aquatic,,WT,AMMM TGZ,Pleurodeles waltl,AABF2564,,,,,Gummy Schedule,0.0,Unknown,
SAL_490,B3,Rack 8,2025-06-16,5/17/24 0:00,perfused for perk and edu with TGZ,"AMMM, TS",,Aquatic,,WT,AMMM TGZ,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule,0.0,Unknown,
SAL_676,B1,Rack 5,2025-06-16,12/10/24 0:00,"found dead by sean, AMMM logged",,,Aquatic,,WT,,Pleurodeles waltl,AABF2564,,,,,,0.0,Unknown,
SAL_313,A1,Rack 6,2025-06-17,11/24/24 0:00,2p imaging,ECJ,,Aquatic,F1,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,,3.2,Unknown,
SAL_459,B4,Rack 9,2025-06-17,1/3/25 0:00,histology,TS,,Aquatic,,WT,,Pleurodeles waltl,AABF2564,,,,,Gummy Schedule,0.0,Unknown,
SAL_172,A5,Rack 2,2025-06-18,1/14/23 0:00,tracing,TS,,Aquatic,,hsyn-GCaMP6s,Priority to use ,Pleurodeles waltl,AABL1550,low signal/inconclusive/1 is soma G7s,,,,,0.0,Unknown,
SAL_171,A5,Rack 2,2025-06-18,1/14/23 0:00,tracing,TS,,Aquatic,,hsyn-GCaMP6s,Priority to use ,Pleurodeles waltl,AABL1550,low signal/inconclusive/1 is soma G7s,,,,,0.0,Unknown,
SAL_576,B4,Rack 7,2025-06-23,9/1/22 0:00,histology,TS,,Aquatic,Sweden,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,DOB 2021/11 - 2023/09,,,,,0.0,Unknown,
SAL_612,B3,Rack 9,2025-07-02,10/25/24 0:00,foxp1 overexpression,MK,,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,,,,,,0.0,Unknown,
SAL_613,B3,Rack 9,2025-07-02,10/25/24 0:00,foxp1 overexpression,MK,,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,,,,,,0.0,Unknown,
SAL_614,B3,Rack 9,2025-07-02,10/25/24 0:00,foxp1 overexpression,MK,,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,,,,,,0.0,Unknown,
SAL_615,B3,Rack 9,2025-07-02,10/25/24 0:00,foxp1 overexpression,MK,,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,,,,,,0.0,Unknown,
SAL_616,B3,Rack 9,2025-07-02,10/25/24 0:00,,,,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,,,,,,0.0,Unknown,Found Dead
SAL_629,A3,Rack 9,2025-07-03,10/25/24 0:00,,MK,,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,Regen,,,,,0.0,Unknown,
SAL_630,A3,Rack 9,2025-07-03,10/25/24 0:00,,MK,,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,Regen,,,,,0.0,Unknown,
SAL_638,A4,Rack 9,2025-07-03,10/25/24 0:00,,MK,,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,Regen,,,,,0.0,Unknown,
SAL_650,C2,Rack 9,2025-07-03,12/10/24 0:00,,MK,,Aquatic,,WT,AOG,Pleurodeles waltl,AABI2617,AOG Electroporation,,,,,0.0,Unknown,
SAL_007,C4,Rack 3,2025-07-10,1/21/20,JC iontophoresis,TS,Reptiles & Critters ,Aquatic,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,,0.0,Male,
SAL_008,C4,Rack 3,2025-07-10,1/21/20,JC iontophoresis,TS,Reptiles & Critters ,Aquatic,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,,0.0,Male,
SAL_232,B2,Rack 10,2025-07-10,11/24/23 0:00,2P imaging,ECJ,Terra F,Terrestrial,F1,hsyn-GCaMP6s,TS ECJ Imaging,Pleurodeles waltl,AABL1550,,,12/5/24 0:00,,Gummy Schedule,0.0,Unknown,
SAL_362,B2,Rack 6,2025-07-10,11/24/23 0:00,2P imaging,ECJ,,Aquatic,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,,0.0,Unknown,
SAL_769,C4,Rack 9,2025-07-10,12/10/24 0:00,PA Iontophoresis,TS,,Aquatic,PxW,WT,,Pleurodeles waltl,AABF2564,fridged > St 37,,,,,0.0,Unknown,
SAL_089,C4,Rack 2,2025-04-30,2/23/22 0:00,,"NJC, TS",,Aquatic,,WT,,Pleurodeles waltl,AABL1550,LX viral injections,,,,,0.0,Unknown,
SAL_090,C4,Rack 2,2025-04-30,2/23/22 0:00,,"NJC, TS",,Aquatic,,WT,,Pleurodeles waltl,AABL1550,LX viral injections,,,,,0.0,Unknown,
SAL_091,C4,Rack 2,2025-04-30,2/23/22 0:00,,"NJC, TS",,Aquatic,,WT,,Pleurodeles waltl,AABL1550,LX viral injections,,,,,0.0,Unknown,
SAL_092,C4,Rack 2,2025-04-30,2/23/22 0:00,,"NJC, TS",,Aquatic,,WT,,Pleurodeles waltl,AABL1550,LX viral injections,,,,,0.0,Unknown,
SAL_093,C4,Rack 2,2025-04-30,2/23/22 0:00,,"NJC, TS",,Aquatic,,WT,,Pleurodeles waltl,AABL1550,LX viral injections,,,,,0.0,Unknown,
SAL_173,A5,Rack 2,2025-06-30,1/14/23 0:00,single cell,"LDVA, JW",,Aquatic,,hsyn-GCaMP6s,Priority to use ,Pleurodeles waltl,AABI2617,low signal/inconclusive/1 is soma G7s,,,,,13.0,Unknown,
SAL_160,D2,Rack 8,2025-07-09,5/4/22 0:00,adult for scRNAseq trial that didnt happen,LDVA,,Aquatic,,WT,,Pleurodeles waltl,AABI2617,,,,,Gummy Schedule,3.62,Unknown,
SAL_289,A2,Rack 11,2025-07-07,11/24/23 0:00,snout histology - SOX2/alpha tubulin immuno - terra v aqua,JW,Terra M,Terrestrial,,WT,JW Histology,Pleurodeles waltl,AABL1550,,,4/3/25 0:00,,Gummy Schedule,7.84,Unknown,
SAL_450,B2,Rack 8,2025-07-07,11/24/23 0:00,snout histology - SOX2/alpha tubulin immuno - terra v aqua,JW,,Aquatic,,WT,JW AMMM histology,Pleurodeles waltl,AABL1550,,,,,,8.11,Unknown,
